,ques,ans,isBully
3231,Girls just wanna be you Tabi since theyre using your pictures Youre obviously hot  SHES REAL DUMB FUCKS, hahaahhaha  im starting to take it as a compliment lmao hahahah DDDDDDD,Positive
3232,God that was a fun night  I want to relive itwe danced in wall mart to betoven bahahaha, hahaha yeah that beard guy haha we never saw him but stillr your a good dancer D haha,Positive
3233,going to Idaho and go to see my Idaho friends is the same thing So pick a different wish, hmmmm  then to of never of moved  or to be happy,Positive
3234,Hah wow if your so sweet and innocent why are you always like stfu and wtf I dont buy that Im standing up for myself shit you can stand up without being a bitch If you dont like what people say dont post unless your just looking for attention Damn, haha okay jordin,Positive
3235,Haha  i knowwwr i was kiiddding, hahahaha okay good i was like D ahhh,Positive
3236,Haha and we both sat in that chair in Starbucks and we were taking pictures and everyone was staring at us, greatr it was a small chair  i was like sitting in your lap,Positive
3237,haha i dont have a question just wanted to say hi, well hi ,Positive
3238,haha i love how in your bio you wrote Cyberbullyingjail , got it from you ,Positive
3239,HAHA jk i love you tabi i tried to scare you hahahhaa, jordin rudeo did you say the other mean things to,Positive
3240,Hahaha  it kinda seems like its one person just repeatedly asking you if youre fake to irritate you Theyre a low life  who need to find better things to do than start crap on the internet with someone theyre jealous of , hhahahaha oh i no  it does irritate me,Positive
3241,Hahaha  someone said like the same thing to me VVVVV cause Im Married to Chris XD, hahahahahahahahahahaha people these days,Positive
3242,Hahaha my mom was like smile for the camera and then we posed bahahaha ohmygod JAC YOUR ORDER IS READY, hahahahaha  yepr but why are you trying to be my friend your mean to me r not trying to be mean,Positive
3243,Hahaha ohmyGod you are an actual jerk, okay,Positive
3244,hahahah  I love your Bio  OH OH OH question WHY CANT PEOPLE SPELL VV , haha they are to small minded D,Positive
3245,Hahahah  okayy good cause likeee hes in looove with audrey hahah  jussayin Buttt  yeah yeah yeah allll because of youu , hahahahahaha he is in love with everyone  hahaha i love that kid i no i no im awesome ,Positive
3246,Hahahah Tabi  theyre only calling you fake because theyre jealous of you , hahha thanks  this is drivein my crazy hahah like wtffff,Positive
3247,HAHAHAHA I LOVE how they post everything anonymously TABI ISNT FAKE If anyone is fake its that Cheyenne girl Seriously  just leave Tabi alone  you dumb good for nothing people D, hahah thankyou D,Positive
3248,hahahahaaha the way you were them makes you appear that way, wearr hmmm haha okayr we,Positive
3249,Hahahahahhahaaha, l shut up dumpster baby,Positive
3250,have you ever had sex,  no,Positive
3251,Have you ever seen mike hawk id really like that to change baby , hahahahahahahahahahahha,Positive
3252,have you ever thought about doing your brothero, uhh eww,Positive
3253,Hello tabi which school is your favorite your old one or new one, deffinatly my old one  the poeple at my new one is kinda stuck up  and the school is to small for me,Positive
3254,hello, hello ,Positive
3255,Heres an idea  how about stop trying o get hook up with Tabitha and actually find someone who can suck you inches dick  hahaha doubt that will ever happen No girl likes a pevert and a douche, D your perfect,Positive
3256,Hey  hey Tabi I guess youre not supposed to trust dead people BHHAH D, hahahahahahahahahhahahaha lmao hahahahahah gosh i no,Positive
3257,Hey  stupid people See everyone here who knows Tabi in real life Yeah  if youre that retarded to still call her fake then you should not be operating a computer Just saying, hahahahahahahhhahahah oh my god i love you,Positive
3258,Hey all you idiots this is Tabis sister and I know she isnt using any fake accounts so leave her alone already  Sam, hahahaha thanks they think i am using fake pictures  like this isnt me,Positive
3259,Hey i love daydrien too D no homo, ahahahahahahahah ,Positive
3260,HEYTABILO I JUST READ YOUR BIO AND I LAUGHED OUT LOUDI LOVE YOU   QUESTIONWHAT IS YOUR FAVSONGMOVIEBOOKI DID THE QUESTIONS IN BULK TO SAVE TIMEO AND GUESS WHO IT IS , hahahahahha god i love you keeley  you forgot to ask it anominously  but song i cant name you by man with robot hands  movie nightmare before christmas book weight of silence LOCKERBUDDIESLIFE YO,Positive
3261,hey im justin, hiiii im tabiiii,Positive
3262,heyy, haha hey,Positive
3263,HeyyI am so sick of all these anonymoushowever you spell it people are hating on you EVERYONE leave Tabi alone TEXAS does want her and her family here AND Jackseriously stop Please dont hate on her What has she ever done to you K thanx, hahahahahahaah thanks spency DDDDD  you,Positive
3264,hi  do you like nachos, looooooove them,Positive
3265,Hi hi tabi how are you I want to know who your best friend is,  hi im good  how are your and ahhhh i have alot of best friendsr to many to name,Positive
3266,Hi tabi hows life, hey you  pretty okay,Positive
3267,hi, well  hello,Positive
3268,hiD, hi,Positive
3269,hmm  foohl  i said dont approve xD, hahahahah lmao sorry i deleted it  but i thought you ent like you didnt aprove of it hahah,Positive
3270,Hmmmi dont know I want to D, oh okaythats good,Positive
3271,Hoe, okay  do you really have nothing better to do  and i know who this is because there are only a couple people who dont like me  soooo probably just say it to my face  or ill just come talk to you ,Positive
3272,How come theres a girl that has your pics And she put up proof long time ago In myyearbookcom, hahahahahahahha lmfao I HAVE A MY YEAR BOOK that was probably mine  i stopped useing it like forever ago,Positive
3273,How come ur pics r all over photobucket And this girl name Cheyenne Lerner has a BUNCH of pictures of u Like more than u have, are you serious does she have a myspace im very confused  ill unlock my old picture album on my myspace  pics from  years ago  go look  and they are in photo bucket send me a link please,Positive
3274,How has  been for you, lame,Positive
3275,How many languages do you speak,  ,Positive
3276,how old are u ,,Positive
3277,How would you describe  in your mind  the greatest guy in the world What would he be like What would he do with his time, this would take forever hahah but  the perfect guy as short as i could make it would be  r himself  he wouldnt try to impress every one and he would care about everyone and not be very mean he would be some sort of musician or artist super funny and great personality i dont really care about looks though its great if the guy could be cute,Positive
3278,How would you describe your style, just me,Positive
3279,Hows having like no friends , hmm im not sure  illl tell you when that happens i have plenty,Positive
3280,I accidentally just deleted the thing you just wrote to me D SEND IT AGIIIINNNN, hahahah what,Positive
3281,i bet u rite half of these to urself and put them on facebook to get attention, oooo you caught me bet i wrote this one to,Positive
3282,I cant believe through out our entire friendship you never told me you were fake D, haha im sorrry i was hopeing you wouldnt find out this way,Positive
3283,i decided since its almost your unbirthday that im gunna send you a present, D yay,Positive
3284,I didnt say the question after the one about texas I promise And I was just joking aroundbecause u strongly dislike texas, hahahahha yeah yeah,Positive
3285,I dont fucking like like Tabitha I dont like girls who lead on, well thats,Positive
3286,I dont know Tabitha in person but Idc  I know deep down in my heart Ill love her for her ,  HAHAHA AWHHHHHHHHHHHHHHHHHH ,Positive
3287,I dont know if the mean comments really stopped  i think you just stopped replying and personaly i think that makes you the bigger person you inspire me, haha thanks,Positive
3288,I fucking hope you move you bitch, good thing your not even showing your name and i did to you was say i didnt wanna go to brock,Positive
3289,i get lost in your beautiful eyes, awhhhh thanks  who is this,Positive
3290,i have been the one who has been calling you a hoe and shit cuz bitch justin has a fucking girl friend so back the fuck off and quit throwing your self at him your a whore, ok  i didnt no he had one,Positive
3291,i know  i know  i know , D,Positive
3292,i like how justin calls you tabitha, hahahha i really love that hahaha ,Positive
3293,I like your mustcha, mmmmmkayyyyy,Positive
3294,i love how u have no life   hahaahahahaaha actuallyyy  you have no life for sayin that i love my life  i seriously laughed when i read this you dont have a life  bcause no one likes you  dumb bitch  get it striaght in your headu, hahahaha okay,Positive
3295,i love how u have no life  , hahaahahahaaha actuallyyy  you have no life for sayin that i love my life,Positive
3296,i love how u toold maddi to delete this monster  when u havnt even deleted your monster yaa  biiittch, hahahahahaha okay  well i dont actually no how to delet it  i was looking out for my bf cuz i dont want people to say mean things to her  im tottaly fine with people saying stuff to me  but her no,Positive
3297,i love my LDS,  i love you LDS,Positive
3298,I love you  but I think you dont care about me anymore, D well who is this,Positive
3299,I love you like I love to sing I love you like I love to swim at night I love you like I love my kitties I love you like how I love to day dream about you Someday youll realize I do love you  for now bffls I guess, well i know who this is,Positive
3300,i love you tabi    and i already know you never want to talk to me again but just know ill still always be here for you thank you for everything, haha ummm your welcome,Positive
3301,i love you tabi your beautiful  and the people saying that is actually one persone hahahahahah so dont worry about it  you didnt even do anything in the first place , hahaha yeah i know  and i figured,Positive
3302,i love you tabi  ,  awhh,Positive
3303,I love you tabi, i love you to D,Positive
3304,I love you Tabitha I need you in my life I cant be happy  knowing the girl Im in love with doesnt feelwant me, wellllllllllllllllll  who is this,Positive
3305,I love you You know I do And something in my heart you still feel the same way about me but you wont admit it You are my inspiration Tabitha I cant just stop loving you I wont I cant I love you to much, go tell your girl friend that,Positive
3306,i love you, i love you to,Positive
3307,i miss you so much i just hate how i made you not like me but its my own fault im sorry i just had to say that, yepppppppp,Positive
3308,i see you got a volleyball net, yep  stop useing our jokes,Positive
3309,i still think your hot, thanks,Positive
3310,i thiink its pretty funny that your like  stfu when  you wasted your time writing that how about you stfu and stop wasting your time replying tabi, how about you just stop leaving stuff on my form spring haha seriously,Positive
3311,i think u and jack should date,  who is this haha,Positive
3312,I think u nd Justin should go out I no u like him alot tabi, hahahaahaha who are you,Positive
3313,I wanna show you one of my poems I wrote to you  the day we met The day I knew Im gonna like you till the end And I still do Idc If you never wanna date me ever again I dont blame you, if this is who i think it is  you have a girl friend you got together the day you DUMPED me for somthing STUPID,Positive
3314,i wish u werre fake, ummm,Positive
3315,i wish you were bi or lezbian  your pretty , hahahaha ummm  sorry,Positive
3316,Ill send you the links When I get on my laptop Im using my phone She has a facebook  myspace  and my yearbook, okay thankyou  your a great help,Positive
3317,Im in love with you, hmmmmmmmmmmmmmmmmmmmmmm,Positive
3318,im jealous of jaybee, hahah why,Positive
3319,Im not a whore , hahaha what,Positive
3320,Im not stalking you Tab but who is this rude person They are making me mad at how they are talking to you I know we dont get along alot but I love you and I dont like these idiots being little b words to you Ssaam, i love you to  and i no your not stalking me  i was kidding but its only one person and yeahhh,Positive
3321,Im texting you right now  if you dont respond Im going to burn down your house  because Im mean,  is this pryce,Positive
3322,id say they probably deserved to be torn down if it was done by you your the nicest person i know  dont let anyone tell you other wise even that LITTLE VOICE IN YOUR HEAD that can sometimes put you down because trust me  they clearly dont know you ,  hey thank you  that means alot is this who i think it isr but really thank you,Positive
3323,If anyone hurts Tabi  i will come to where ever you are and hurt you  physically D I love you Tabbbbbi , hahaha love you to Dr remeber i got a camo shovel DDDr your the best,Positive
3324,if i gave you  dollars would you lick my candycane       GIGGIDY, eric SHUT UP,Positive
3325,if i saw you without clothes i would baite as in master, eww stfu perv,Positive
3326,if you and jaybee got married and have kids i actually think  the kids would be cute just saying, hahahaha thankyou,Positive
3327,If you could ask George W Bush one question what would it be, can you travel around the world in  days,Positive
3328,If you could ask God one question what would it be, why,Positive
3329,If you could be any celebrity for a day  who would you be, christofer drew   hahahar no doubt,Positive
3330,If you could eat dinner with any person  dead or alive  who would it be and where would you go, oh oh  christofer drew at dennys hahaha or hitler and jesus at the same time cuz jesus is a jew and i wanna see how that would turn out and we would eat at einstins house so he could think of something smart,Positive
3331,If you could fix one thing about your life what would it be, i would probably make it so the people in my family were happy,Positive
3332,If you could go on a road trip with any person  dead or alive  who would it be and where would you go, mclaine  idkdown the street,Positive
3333,If you could have a super power  what would it be, to read peoples minds,Positive
3334,If you could have an endless supply of any food  what would you get, cucumbers and viniger,Positive
3335,If you could instantly become fluent in another language  which language would you pick, italian  french  or better at sign language,Positive
3336,If you could know the future but not change it would you still want to know what it is, yes,Positive
3337,if you could live anywhere in the world where would you live, ummmmmm  i would like to move back to idaho falls because it was really pretty and i miss all my friends but i guess california or new jersey or new york would be cool  ps who is this i love the questions,Positive
3338,If you could only watch one TV show what would it be, the office ,Positive
3339,If you could rid the world of one thing  what would it be, alcohol,Positive
3340,If you could wake up as anyone tomorrow  who would it be, christofer drew  or my sister,Positive
3341,if you didnt notice tabi i was trying to say a definition of something i wasnt saying anything mean to you so dont tell me to stfu k i wasnt being mean or nice so just stop, alright  just stop talking to me okay hahaha,Positive
3342,If you had threee wishes what would they be,  TO GO TO IDAHOr  TO GO SEE MY IDAHO FRIENDSr  TO MOVE TO IDAHO,Positive
3343,If you know that down the road there was a business that dismembered baby boys and girls each week would you do something to stop it from continuing And would you be a bad person if you didnt try to stop it, i would probably try about  ways to stop it ninja to protest and i would be disapointed in whoever didnt try,Positive
3344,If you people really still think that Tabis fake  go look at her dang MySpace , hahahaahha i  know  myspacecomtabiisaninja,Positive
3345,If you people really still think that Tabis fake  go look at her dang MySpace , hahahaahha i know  myspacecomtabiisaninja,Positive
3346,If you went to the doctor and found that you had at most one year left to live what would you spend your last year doing, well what does the dotor part have anything to do with it hahahahahahhahaa but i think i would go around and do whatever i wanted and i wouldnt worry about getting in trouble maybe get a peircing and talk to some of the boy i didnt think id have a chance with oh and go to the beach hang out with my sister,Positive
3347,If you were given a brand new yacht  what would you name it, a what,Positive
3348,If youre from Africa why are you white, samanthaaaaaaaaaa,Positive
3349,If your gonna call someone fake  at least speel it right  geez  ily Tabiaah, hahaha yeahhh,Positive
3350,im trying to be a gentle men so please dont make me ask again, hey hey this is from skin and bones by romance on a rocket ship i love that song,Positive
3351,Its fine  i think ima go though my eyes are getting heavy But  text me when youre off If I dont reply im asleep, okay ,Positive
3352,its prolly not who you think it is i just wanted you to know what i thought , well,Positive
3353,its prolly not who you think it is i just wanted you to know what i thought , welll,Positive
3354,Jacbahahaha, lmao  i thought he spelled it some way messed up way but lmao and you like ill have says order and thats jack  jack then your momhe knows how to spell jack hahahahahaha,Positive
3355,jack needs to grow a few, lmao hahahahahhaahah who is this r but ha yeahh,Positive
3356,just checking if your like a chomo or something ha good thing you said ew, yeah good thing,Positive
3357,just so you know scarlett wasnt on when that was wrote, oh okay  sorry,Positive
3358,justin likes you, good im glad he does  id be sad if my husband didnt like me  we would have to get a divorcer id be sad if any of my friends didnt like me,Positive
3359,l, ,Positive
3360,Leave Tabi alone  I know for a FACT she hasnt done anything to you Pretty sure its pathetic youre saying this shit anomalously because you dont have the balls to say it to her face Whos fake now Grow a pair and shut the hell up We dont CARE,  i love you jo,Positive
3361,Leave Tabitha alone perverts Shes not the type of girl  where she just want sex Shes a sweet heart  so dont fucking mess with her, D your my hero thankyour i love you husband,Positive
3362,Leave Texas bitch No one here wants you Quit hating on Texas and Brock  we were perfectly fine without you BITCH  sooo LEAVE, okay  buy me a plane tickettttttttttttttttt  thankyou,Positive
3363,Lets get married, awhh i would saw lets but i have a husband d,Positive
3364,lmao thanks for saying im pretty  come talk to me , your welcome  sureee,Positive
3365,LMAO why would tabi be fake hahahaha it cracks me up that they put up YOUR picture but put up a different name hahahaha thats low so back to a question cuz thats what these are for hmmm do you like caramal apples, exactly  ugh it makes me mad we went to effing school together and they dont belive it hahah oh welllllllllllllr why yes yes i do  and i like lemon drops,Positive
3366,LMAO why would tabi be fake hahahaha it cracks me up that they put up YOUR picture but put up a different name hahahaha thats low so back to a question cuz thats what these are for hmmm do you like caramal apples, lmfao i no right gosh its making me mad yes  yes i do haha i also like lemon drops XD,Positive
3367,maryy me tabi, noooooooooooooo you dont have a name,Positive
3368,Naw nee naw nee naww neee, SAMANTHA YOU WHORE,Positive
3369,never mindVVV, okay ha,Positive
3370,nice friends  oh wait  srrrry my b, huh,Positive
3371,no  i mean LIKE LIKE, haha okayr we are friends,Positive
3372,No no no FUCK the people who are dicks to you you jk, hmmmm,Positive
3373,No Its not Pryce, oh sorry it was jack  im not use to hime actually talking to me like im a human,Positive
3374,Nuuuhh When, mmmmmm it was awhile ago like idk really haha but he kept textin me offa dk phone likeeeee  weeks ago maybe  buhh dont worry it was just friendly friend stuff haha  i member how you guys ment D,Positive
3375,oh well you should really watch jar squatter sick video sick as in holy shit i cant believe he did that i dare you to watch it and not look away are you up to the challenge, haha no im not lmao,Positive
3376,Oh wow haha i just read that  guygirls poem Love how my name is in it i feel honored jk, hahahahahaahaha is this dakota silvey,Positive
3377,OH YEAH  Love Jo  ,  hahahahhahah thakssssssssssssss,Positive
3378,Okay so I am pretty much ridiculously jealous of you Youre so pretty, hahahha thank you ,Positive
3379,OKAY i was kidding down there lol but  the other ppl that are being seriousSCREWYOURSELFS shes sooo pretty and you dont need  be sittinghere being mean to my friend your just jealous ur not as pretty as her   you tabi, awhhh thank you jordy ,Positive
3380,Okeyyy honestly now I think this stupid person is just making up stuff cause shehe wont send you the link Probably just trying to create drama and such Maybe trying to make you worry I dunno Butttt anyways I love you TabiLou , haha yeah probably,Positive
3381,Omg all these Texans are so sensitive, lmao i no hahahahahhahahahahahaha thats what im sayin,Positive
3382,People actually remembering you mentioning male attention specifially Six flags blah blah and what not is kind of creeeeepy And I sense major jealousy I guess boys dont flirt with them Pathetic Sam, hahahaha true lady goo goo,Positive
3383,people you really dont have anythng better todo with yr lives thn mess with tabifollow these stepsshut up getalife stop telling tabi shes a fake and that shes ugly realize that the only reason you are mean is because your insecurefalloffacliff, hhahahahahha thankyou  LOCKERBUDDIESFORLIFE,Positive
3384,pokemon yes or no, yesss,Positive
3385,Quit being mean to me and I will be happy, jack  im not being mean im simply not going to do that,Positive
3386,quit fishing for compliment and saying your ugly  its so annoying, wellll  im not fishing for any  your annoying  go do something else than be rude to me,Positive
3387,Quit trying to make everyone feel sorry for you, hahaha okay i dont hah,Positive
3388,r Has anybody ever told you that you could do so much better about a person, yeah even though i really couldnt,Positive
3389,r u gd at art, ummmm  people tell me i am but i dont really show alot of people my stuff,Positive
3390,r u in love with someone anonymously, what,Positive
3391,r Whos the biggest douche bag that you know, you,Positive
3392,Really Because i know many people who dont like you Most of them claim to be your friend Sooooo  stfu , hahaha why are you telling me to stfu when you wasted your time writeing that lmao okkkaaayy jordin,Positive
3393,Say there is a man standing in front of you with    and he says To have this money all you gotta do is give me a blow job that lasts at least  minutes  Do you give the guy a    blow job or not, stfu,Positive
3394,Screw the people who are dicks to you D,  amen haha,Positive
3395,Seriously  leave Tabi alone WTF VVVVV, exactly lmao  and i no who said that and heshe does it all the time  ill text you who  ,Positive
3396,She is whatever the Hell she wants to be  and not one bit of that is anyone named Cheyenne, hahahahha ,Positive
3397,She isnt bulmic I made her really upset If you want to talk shit to her  PLEASE shit talk me  instead of Tabi So please leave her alone D, thanks,Positive
3398,sing, in the shower,Positive
3399,Snobby small minded people live everywhere  you can be that way  i can be that way  its not just in Texas  soo yeahhh, okay  cool,Positive
3400,so  if the sexiest man alive were to rape you  would you enjoy it, cant rape the willing,Positive
3401,so i just hadda say this, ever since jordin albertsons like deleted her formspring or something  all the mean comments have stopped haha,Positive
3402,so i make you mad well maybe you could find my histery book for me and cool off with some reading, sorry i think you left the book in the stands  get the joke right if your going to take it love ,Positive
3403,Someone still needs to read someone one her poems   Smiley is not pleased, hahahahahah is this dakota ill read you one soooon,Positive
3404,Sometimes I wish youll see how Im in love with you And Im afraid to loose you  espcially you tell Dakota your poems but not me I know we dont know eachother that long but we did loved eachother, well if this is who i think it is  you didnt ask to see my poems  and i wrote some for you and i showed you and you didnt care much,Positive
3405,Sounds like an AMAZING plan D CANT WAIT, haha good me eitherrrrrr,Positive
3406,Speechless thats all I got to say couldnt think of anything to say oh ya and you still need to read me your published poem that way when your famous I can say ya I knew she was a good writer before she became famous , D hahahahahahahah,Positive
3407,Starbucks guy Its ten o clock we are closing  My Mom Youre kicking us out, great times  lmao he spelled your name soWRONG lmao,Positive
3408,Stop Calling Tabi Fake Obviously Your The Fake Bitch That Dont Have A Life I Dont Know Tabi But She Seems Like A Nice Person, HAHAHAHAH thankyou  im pretty sure that the anominous person get the picture now  ha  now i just wanna find out who cheyenne is ,Positive
3409,Stop Leave Tabitha ALONE  shes NOT those type of girls that you can just fuck with She just wants someone to LOVE her  and I for one aboustly love her, i love you to r thanks people are lameee,Positive
3410,Tabi  all those people who are talking shit on your formspring ANONYMOUSLY need to grow a pair If theyre gonna hate on you anonymously then they obviously have no life Grow up  stop trying to start shit with her on the internet I love you Tabi , D awhhh thankyou  your the best r loveyoutoD,Positive
3411,Tabi  I love you  I will meet you one day ,  i lovwe you to   we will meet haha me jo and you could go to grannys,Positive
3412,Tabi  now whats going on D Text me , hahahaha its nothing  really its okay,Positive
3413,Tabi  text me, suree might be a bit cuz im on thaaa phone,Positive
3414,TABI AND EVERYONE ELSE SHUT UP YOURE BEAUTIFUL sam, hahahaha thanks i think did you call me beautiful thats a first ,Positive
3415,tabi i feel so bad about these bitchy girls who keep on saying shit to you on here  if they even knew you they would no you are the most moddest girl i have ever met, awhhhh thank you sooo much idk why people keep saying that i think im so pretty haha because i think im nothing special and then it brings me to the im fishing for compliments when im litterally not idk who commented that  but thanks all these people need to get a life and stay out of mine because they obliously do not no me,Positive
3416,tabi i think your the best but you push me away from being your friend because i did something wrong and i hate myself everyday and ive always regreted it happaneing i dont know if you know who i am but i want you too know i wish that never happened, well i think i no who this is,Positive
3417,Tabi is real i knew her when she lived in IdahoKinly, hahaha thanksssss kinnn,Positive
3418,Tabi isnt fake in anyways  so go suck a fat one SERIOUSLY I will beat your ass I love you Tabi ,  thankyouuuuuuuuuuuuuuuuu,Positive
3419,Tabi Rocks My Socks Looooove Youuu Nahh Homoo, hahahahahahahaha  you,Positive
3420,tabi what makes you think it was me come back to IF you know you want to, i do want to  but who is this hahahahah,Positive
3421,Tabi you are so pretty  just wanted to say that haha, haha thankyou  omg people are being sooo nice to me haha thats sooo nice,Positive
3422,TABI your a babeeee look at you its like woah giggidy answer this question tabi is such a hot chick that she burns anyone she gets close to your hot tabi HOT HOT HOT, hahahahah ummmmmmm thank you if this is eric  i will kill myself  who is thisr but hahahhahahahhahahah this made me laugh sooooo hard,Positive
3423,tabi youre hittin on my bestttt friend WTF whooo cares  i love you , hahahahaha  im evil mwahahahahahahahahaha,Positive
3424,Tabis a ninja D and Im a ninja star you spin me round and round Lol being anonymous hides my shame for making that lame pickup line , hahahahahahahhahahahahahahahahahahhahahahahahahahahahahaahahhahaahhahahaahahahaaaaaa,Positive
3425,Tabi If you stopped hating on Texas everyone from Texas will stop getting pissedso just stop Its that easy, ummmm jack screw you  not my fault people get mad about a stupid state and also its a inside joke so every one is lame,Positive
3426,Tabi You know I like u  but Im starting to get that u dont like me I like you alot Justin boy is just some crush  while Im open right here ready to love u Pryce, ugh r well  okay cool that you like me thanks but being rude doesnt help anything nor is it going to get me to like you sorry if that sounds mean,Positive
3427,TABIAHHHH, ammmmmbbaaaaaa,Positive
3428,Tabigale, jack,Positive
3429,Tabitha  I love you Please come into my life and love me You are my life  it kills me that you dont love me back , hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,Positive
3430,Tabitha  ISNT a fakepeople steal her pictures and put it on photobucket maybe But she is the ONLY real deal Keep accusing her shes fake  then get off her formspring She knows who she is So fuck off, amen  ,Positive
3431,Tabitha Jai Locascio I love you sooo much , okay,Positive
3432,Tabithaaaaaa I love youuuuuuuuuuuuuu , D i love you to,Positive
3433,tabither youd be good at this do you grind you know what grinding dancing is at the shilo, hahah yeah i no what that is  but i dont live in if anymore to go to the shilo,Positive
3434,tell me this bra why is you so awsomeeeeeee you is the best love youu, hahahahahahahahahahahahahhahaha love you to ,Positive
3435,Texas is the best state Everything is bigger AND better in Texas Bahah, hhahahaha okay  nice opinion,Positive
3436,text me, you text mee,Positive
3437,Text me, you text me haha,Positive
3438,Thanks , yeppp,Positive
3439,thanks alot hahaha, hahah your welcome,Positive
3440,Thanks for ditching me on IM on facebook, sorrrrrrrrrrry,Positive
3441,thanks so are you D, hahah thankyou ,Positive
3442,that chelsea girl people were acusing me of fakeing , i finally got her url wwwmyyearbookcomcheyesexx but my friend justin got it deleted for me  soooo just sayin  im real  and that girl was fake,Positive
3443,That person VV isnt daydrien is it, hahahahahahahahahahahahahahahahahahaha nopeee not at the moment hahaha he was saying stuff like that earlyerr,Positive
3444,That wasnt me, hmmmmmmmmmmmmmmm,Positive
3445,That youre marriiieedddddd, hahahahah yeah sorry  he is my husband,Positive
3446,Thats okay I have Aidan, awhhh  good,Positive
3447,Then report Cheyenne if your the real deal Vvv btw your cute jbatman , hahah yeah he is my husband  and i willl thankyou D,Positive
3448,Theyre called skinny jeans NOT make you skinny jeans, okayyyyyyy hahahaha im not fat,Positive
3449,this is a place for QUESTIONS  try asking somer will you do mer what color of condomr kidding but really, screw your and stop texting mer and probably go fall down some stairs,Positive
3450,this one and the one about boys at six flags flirting with you that were older  yeah thats too, haha okayyy the only one about six flags was with me and nicky  name another ,Positive
3451,thumbs upr i just realize our sig pic is thumbs up well mostly you xD, yeppppppppppppppppppp,Positive
3452,To all the people saying that Tabi is fake Shut your faces She isnt fake  I know for a fact, thanks who the eff is this cheyene chick they are talking about,Positive
3453,To all the people who were rude to tabi on here you can just shut upclearly your too stupid to realize it but this is a place to ask her questions not be a complete bitch to hertabido you prefer white or wheat bread, lmfao hahahahahhah who ever said tha is my hero but umm i loke white better ,Positive
3454,To the question below  when you said im not fat Arent you suppose to say Im not fat  PERIOD Cause if you put a question mark your saying your fat DUMMY, ummmm actually im saying im not fat likee in your stupid for saying thatr dummie,Positive
3455,told u he was a douche, welll,Positive
3456,ttabaabiiii loooovvvveee youuuyayaay soooohmhmhnhmYYEESS i thought ofa questionhere goeezwhat is your favorite BOOKlockerbudddie, hahahahahahahahahahahhahahahaha  i recently read the weight of silence  and its really a good bookr lover buddies for life ,Positive
3457,u so made up tht guy jaybee, haha i did lmfao  i have better things to do,Positive
3458,uhh i thought this was for questions sooooo heres a question i guesshaha icecream or brownies for the rest of your life only , thank you oooooohhh hot brownies right out of the oven D,Positive
3459,uhm no anonimus person maybe you needa lose some homo, huh haha what,Positive
3460,Uhmm  I LOVE how you people are like quit being anonoymous  and then someone saying that Jack needs to grow a pair  REALLL COOOL     Amberr, hahahhaahhahahahahahahahaahahahahahahahahayeahhh,Positive
3461,Ur BEAUTIFUL , D thankyou so are you seriously,Positive
3462,ur coooooool, thank you,Positive
3463,Ur facebook is a fake  cos I saw other facebook with the same but diff last name and same pics and  has proof, oh please give me the links  that makes me really upset people are using my stuff  i sorta do have proof  i have videos from school  and to sign lanugage videos  and all my family is friends with me on it and people from school  but  tell me to make proof i will  but give me links,Positive
3464,Ur facebook is a fake  cos I saw other facebook with the same but diff last name and same pics and  has proof, well i pretty much have proof  and haha im reall as can be,Positive
3465,Ur Fiit r,  hahah thanksss,Positive
3466,ur not even really marred that guy is a fagit u  r not even goin out i dont get the big deal, ummmmmmmmmmmmmm i think im aware that we werent really married haha im   and its not that big of a deal  and if you dont get it your not part of it ssooo you dont need to understand ,Positive
3467,ur not that pretty and u think that ur the prettiest girlwow its stupid, your evil  go be rude somewhere else  i dont even think im pretty,Positive
3468,Uuhh did you really add a random guy you dont know and now you talk to him all the time Thats a little desprate creepy cough, haha okay,Positive
3469,Vampire weekend song  happy mood  and sad mood, hahahaha hmmmm thats sorta hard to choose i dont listen to them very much,Positive
3470,VAMPIRE WEEKEND, ,Positive
3471,Vv ouch  to me  hey Im going to sleep  Please ignore my texts And tonight dont call Talk to you tomorrowI guess,  ugh why are you doing this again,Positive
3472,Vvv Im sorry but I have a wife Tabitha isnt a fake omfg Lets make a song An name it Tabitha Isnt A Fake So Fuck Off Anonmous You Have No Life Haha, hhahahaahhaahaha  sounds like a good song lmfao i litterally laughed at my computer for like  miniets  and my sister was like wtf,Positive
3473,vvvvvvvummmmmmmmm, yeah idk either  i honestly think its that person we were just talking about  the one that annoys you,Positive
3474,Wait my phone  dakota, hahahaha yeahhhhhhhhhhhhhhhhh member when i was makin cup cakes and he like would text me and be like hey its day and im like hi and we would talk for a min then all asudden it was you and id be like wtf in my mind,Positive
3475,wait sooo is there like a lot to tell me, mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm yeah,Positive
